CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
alert,2013-05-20,2013.0700,Finland,undeclared sulphite (26 mg/kg - ppm) in cereal bar with dried fruits and berries from the United Kingdom,cereals and bakery products,food,serious,informing authorities,information on distribution not (yet) available,cereal bar with dried fruits and berries,sulphite undeclared,food additives and flavourings,United Kingdom
alert,2013-05-20,2013.0698,Ireland,"polycyclic aromatic hydrocarbons (60 µg/kg - ppb) in dried fish from Thailand, via the United Kingdom",fish and fish products,food,serious,recall from consumers,information on distribution not (yet) available,dried fish,polycyclic aromatic hydrocarbons,environmental pollutants,"Thailand,United Kingdom"
alert,2013-05-20,2013.0699,Sweden,"Salmonella infantis (presence /25g) in beef trimmings from Poland, via Germany",meat and meat products (other than poultry),food,serious, ,information on distribution not (yet) available,beef trimmings,salmonella enterica ser. infantis,pathogenic micro-organisms,"Germany,Poland"
information for attention,2013-05-17,2013.0690,Sweden,aflatoxins (B1 = 27 / B1 = 11 / B1 = 44 / B1 = 49 µg/kg - ppb) in rice bran for horses from Sweden,feed materials,feed,serious,recall from consumers,distribution restricted to notifying country,rice bran for horses,aflatoxins,mycotoxins,Sweden
border rejection,2013-05-17,2013.AYY,Italy,"faecal streptococci (17000 CFU/g) in desiccated coconut from Indonesia, via Malaysia","nuts, nut products and seeds",food,not serious,re-dispatch,product not (yet) placed on the market,desiccated coconut,faecal streptococci,microbial contaminants (other),"Indonesia,Malaysia"
information for follow-up,2013-05-17,2013.0695,Germany,"too high content of sulphite (488 mg/kg - ppm) in woodapple jam from Sri Lanka, via the United Kingdom",confectionery,food,not serious,withdrawal from the market,distribution to other member countries,woodapple jam,too high content of sulphite,food additives and flavourings,"Sri Lanka,United Kingdom"
border rejection,2013-05-17,2013.AZD,Netherlands,Salmonella Heidelberg (presence /25g) in frozen salted chicken breast fillets from Brazil,poultry meat and poultry meat products,food,serious,re-dispatch,product not (yet) placed on the market,frozen salted chicken breast fillets,salmonella enterica ser. heidelberg,pathogenic micro-organisms,Brazil
border rejection,2013-05-17,2013.AZC,Spain,shigatoxin-producing Escherichia coli (presence /25g) in chilled boneless beef meat (Bos taurus) from Uruguay,meat and meat products (other than poultry),food,serious,import not authorised,product not (yet) placed on the market,chilled boneless beef meat (bos taurus),shigatoxin-producing escherichia coli,microbial contaminants (other),Uruguay
information for follow-up,2013-05-17,2013.0688,Estonia,"unauthorised feed additive amprolium (0.03 mg/kg - ppm) in feed premixture from Poland, via Lithuania",feed premixtures,feed,not serious, ,distribution restricted to notifying country,feed premixture,unauthorised feed additive amprolium,residues of veterinary medicinal products,"Lithuania,Poland"
alert,2013-05-17,2013.0692,Sweden,Salmonella Dublin (presence /25g) and Salmonella Indiana (presence /25g) in beef trimmings from Poland,meat and meat products (other than poultry),food,serious,return to consignor,distribution restricted to notifying country,beef trimmings,"salmonella enterica ser. dublin,salmonella enterica ser. indiana","pathogenic micro-organisms,pathogenic micro-organisms",Poland
alert,2013-05-17,2013.0694,Italy,"hepatitis A virus in frozen berry mix from Italy, with raw material from Bulgaria, Canada, Poland and Serbia",fruits and vegetables,food,serious,withdrawal from the market,information on distribution not (yet) available,frozen berry mix,hepatitis a virus,pathogenic micro-organisms,"Bulgaria,Canada,Italy,Poland,Serbia"
alert,2013-05-17,2013.0691,Belgium,Salmonella enterica (presence /25g) in salami without garlic from Belgium,meat and meat products (other than poultry),food,serious,withdrawal from the market,distribution to other member countries,salami without garlic,salmonella,pathogenic micro-organisms,Belgium
border rejection,2013-05-17,2013.AYZ,Spain,shigatoxin-producing Escherichia coli (presence /25g) in chilled boneless beef (Bos taurus) from Uruguay,meat and meat products (other than poultry),food,serious,re-dispatch,product not (yet) placed on the market,chilled boneless beef (bos taurus),shigatoxin-producing escherichia coli,microbial contaminants (other),Uruguay
border rejection,2013-05-17,2013.AZA,Ireland,migration of primary aromatic amines (9.012; 5.221 mg/kg - ppm) from set of kitchen tools from China,food contact materials,fcm,serious,destruction,product not (yet) placed on the market,set of kitchen tools,migration of primary aromatic amines,migration,China
information for attention,2013-05-17,2013.0693,Germany,mercury (0.016; 0.021 mg/kg - ppm) in cooked marinated chicken breast fillets from Brazil,poultry meat and poultry meat products,food,serious,import not authorised,distribution restricted to notifying country,cooked marinated chicken breast fillets,mercury,metals,Brazil
alert,2013-05-17,2013.0687,Germany,migration of primary aromatic amines (aniline: 1.2 µg/l) from printed napkins from Germany,food contact materials,fcm,serious,informing recipient(s),distribution to other member countries,printed napkins,migration of primary aromatic amines,migration,Germany
information for follow-up,2013-05-17,2013.0689,Estonia,unauthorised feed additive amprolium (~0.6 mg/kg - ppm) in feed premixtures from Belgium,feed premixtures,feed,not serious, ,no distribution from notifying country,feed premixtures,unauthorised feed additive amprolium,residues of veterinary medicinal products,Belgium
border rejection,2013-05-17,2013.AZB,Poland,rodent excrements (2 /kg) in pumpkin seed kernels from China,"nuts, nut products and seeds",food,not serious,re-dispatch,product not (yet) placed on the market,pumpkin seed kernels,rodent excrements,foreign bodies,China
alert,2013-05-17,2013.0696,Finland,"presence of thorn-apple (Datura stramonium L) seeds in frozen vegetable-bean-seed mix from Belgium, with raw material from Spain",fruits and vegetables,food,serious,recall from consumers,distribution to other member countries,frozen vegetable-bean-seed mix,presence of thorn-apple (datura stramonium l) seeds,biological contaminants (other),"Belgium,Spain"
information for follow-up,2013-05-16,2013.0684,Austria,foreign body (feathers) in poultry sausage from the Netherlands,poultry meat and poultry meat products,food,not serious,return to consignor,information on distribution not (yet) available,poultry sausage,foreign body,foreign bodies,Netherlands
border rejection,2013-05-16,2013.AYX,Poland,dead mites (4pc /100g) and rodent excrements in black tea from China,"cocoa and cocoa preparations, coffee and tea",food,not serious,placed under customs seals,product not (yet) placed on the market,black tea,"dead mites,rodent excrements","foreign bodies,foreign bodies",China
border rejection,2013-05-16,2013.AYR,United Kingdom,Salmonella enterica (1 out of 5 samples /25g) in paan leaves (betel/pan) from Bangladesh,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,paan leaves (betel/pan),salmonella,pathogenic micro-organisms,Bangladesh
information for attention,2013-05-16,2013.0685,Greece,too high content of sulphite (254 mg/kg - ppm) in mixed pickels from Turkey,fruits and vegetables,food,not serious,withdrawal from the market,distribution restricted to notifying country,mixed pickels,too high content of sulphite,food additives and flavourings,Turkey
information for attention,2013-05-16,2013.0680,Italy,"cadmium (2.06 mg/kg - ppm) in frozen squid from Spain, via Slovenia",cephalopods and products thereof,food,serious, ,product (presumably) no longer on the market,frozen squid,cadmium,metals,"Slovenia,Spain"
information for follow-up,2013-05-16,2013.0679,Norway,"hulled sesame seeds from Nigeria, via the Netherlands with defective packaging (bad sealings of bags) and infested with moulds","nuts, nut products and seeds",food,not serious,return to consignor,information on distribution not (yet) available,hulled sesame seeds,"defective packaging,infested with moulds","packaging defective / incorrect,microbial contaminants (other)","Netherlands,Nigeria"
border rejection,2013-05-16,2013.AYT,Denmark,Salmonella (present /25g) in holy basil fresh leaves from Thailand,herbs and spices,food,serious,destruction,product not (yet) placed on the market,holy basil fresh leaves,salmonella,pathogenic micro-organisms,Thailand
border rejection,2013-05-16,2013.AYW,Spain,poor temperature control (-7 °C) of frozen squid (Loligo vulgaris) and frozen sole (Solea spp.) from Morocco,cephalopods and products thereof,food,not serious,import not authorised,product not (yet) placed on the market,frozen squid (loligo vulgaris) and frozen sole (solea spp.),poor temperature control,poor or insufficient controls,Morocco
information for attention,2013-05-16,2013.0686,Germany,aflatoxins (B1 = 38.8; Tot. = 97.3 µg/kg - ppb) in roasted pistachios from Turkey,"nuts, nut products and seeds",food,serious,destruction,distribution restricted to notifying country,roasted pistachios,aflatoxins,mycotoxins,Turkey
border rejection,2013-05-16,2013.AYS,Poland,Salmonella enterica (presence /25g) in black pepper from Vietnam infested with moulds (2.2 %),herbs and spices,food,serious,re-dispatch,product not (yet) placed on the market,black pepper,"salmonella,infested with moulds","pathogenic micro-organisms,microbial contaminants (other)",Vietnam
alert,2013-05-16,2013.0683,Germany,"benzo(a)pyrene (61.2 µg/kg - ppb) in dried fish from Ghana, via Belgium",fish and fish products,food,serious,no action taken,distribution restricted to notifying country,dried fish,benzo(a)pyrene,environmental pollutants,"Belgium,Ghana"
information for attention,2013-05-16,2013.0681,Belgium,unauthorised genetically modified papayas from Thailand,fruits and vegetables,food,not serious,no action taken,distribution restricted to notifying country,papayas,unauthorised genetically modified,genetically modified food or feed,Thailand
border rejection,2013-05-16,2013.AYU,United Kingdom,aflatoxins (B1 = 5.2; Tot. = 6.1 µg/kg - ppb) in peanut butter from India,"nuts, nut products and seeds",food,serious,import not authorised,product not (yet) placed on the market,peanut butter,aflatoxins,mycotoxins,India
border rejection,2013-05-16,2013.AYV,Poland,white pepper from Vietnam infested with moulds,herbs and spices,food,not serious,re-dispatch,product not (yet) placed on the market,white pepper,infested with moulds,microbial contaminants (other),Vietnam
alert,2013-05-16,2013.0682,Italy,mercury (1.48 mg/kg - ppm) in frozen swordfish ( Xiphias glaudius) from Spain,fish and fish products,food,serious,re-dispatch,information on distribution not (yet) available,frozen swordfish ( xiphias glaudius),mercury,metals,Spain
border rejection,2013-05-16,2013.AYQ,Bulgaria,aflatoxins (B1 = 7.7 µg/kg - ppb) in crushed chilli from India,herbs and spices,food,serious,placed under customs seals,product not (yet) placed on the market,crushed chilli,aflatoxins,mycotoxins,India
alert,2013-05-15,2013.0677,Italy,mercury (2.1 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain,fish and fish products,food,serious,withdrawal from the market,distribution restricted to notifying country,frozen swordfish (xiphias gladius),mercury,metals,Spain
border rejection,2013-05-15,2013.AYM,Romania,unauthorised operator and absence of health certificate(s) for fish oil from the United States,"dietetic foods, food supplements, fortified foods",food,not serious,destruction,product not (yet) placed on the market,fish oil,"absence of health certificate(s),unauthorised operator","adulteration / fraud,poor or insufficient controls",United States
information for attention,2013-05-15,2013.0675,Norway,Salmonella Weltevreden in fresh spinach from Sri Lanka,fruits and vegetables,food,serious,destruction,distribution restricted to notifying country,fresh spinach,salmonella enterica ser. weltevreden,pathogenic micro-organisms,Sri Lanka
border rejection,2013-05-15,2013.AYP,Ireland,aflatoxins (B1 = 16.8; Tot. = 17.3 µg/kg - ppb) in chilli powder from India,herbs and spices,food,serious,destruction,product not (yet) placed on the market,chilli powder,aflatoxins,mycotoxins,India
border rejection,2013-05-15,2013.AYN,Netherlands,spoilage and poor temperature control (Above -12°c) of frozen haddock (Melanogrammus aeglefish) from China,fish and fish products,food,not serious,destruction,product not (yet) placed on the market,frozen haddock (melanogrammus aeglefish),"poor temperature control,spoilage","poor or insufficient controls,organoleptic aspects",China
information for follow-up,2013-05-15,2013.0678,Poland,animal protein in pork hemoglobine powder from Germany,feed materials,feed,not serious,detained by operator,no distribution from notifying country,pork hemoglobine powder,animal protein,composition,Germany
information for attention,2013-05-15,2013.0673,Slovenia,mercury (1.7 mg/kg - ppm) in chilled tuna (Thunnus alalunga) from Croatia,fish and fish products,food,serious,no action taken,product (presumably) no longer on the market,chilled tuna (thunnus alalunga),mercury,metals,Croatia
information for attention,2013-05-15,2013.0676,Norway,high count of Escherichia coli (26000 CFU/g) in centella (Centella asiatica) from Sri Lanka,herbs and spices,food,not serious,destruction,distribution restricted to notifying country,centella (centella asiatica),high count of escherichia coli,microbial contaminants (other),Sri Lanka
border rejection,2013-05-15,2013.AYO,Bulgaria,Salmonella Stendal (presence /25g) in frozen chicken livers from Brazil,poultry meat and poultry meat products,food,not serious,import not authorised,product not (yet) placed on the market,frozen chicken livers,salmonella enterica ser. stendal,pathogenic micro-organisms,Brazil
information for follow-up,2013-05-15,2013.0674,Belgium,"too high count of Enterobacteriaceae (300;510;470;370;340 CFU/g) in lamb meal from the Netherlands, with raw material from New Zealand",feed materials,feed,not serious,physical/chemical treatment,no distribution from notifying country,lamb meal,too high count of enterobacteriaceae,microbial contaminants (other),"Netherlands,New Zealand"
information for follow-up,2013-05-14,2013.0666,Slovakia,"risk of internal injuries as a result of the consumption of illuminated lolipops from China, via the Czech Republic",confectionery,food,serious,withdrawal from the market,distribution to other member countries,illuminated lolipops,risk of internal injuries as a result of the consumption,not determined / other,"China,Czech Republic"
border rejection,2013-05-14,2013.AYK,Italy,"unauthorised substances monocrotophos (0.11 mg/kg - ppm), profenofos (0.48 mg/kg - ppm) and triazophos (0.36 mg/kg - ppm) in pepperoncini (Capsicum annuum) from India",fruits and vegetables,food,undecided,re-dispatch,product not (yet) placed on the market,pepperoncini (capsicum annuum),"unauthorised substance monocrotophos,unauthorised substance profenofos,unauthorised substance triazophos","pesticide residues,pesticide residues,pesticide residues",India
information for attention,2013-05-14,2013.0667,Italy,food poisoning suspected (hepatitis A) to be caused by chilled oysters from France and the Netherlands,bivalve molluscs and products thereof,food,serious, ,product (presumably) no longer on the market,chilled oysters,food poisoning suspected,not determined / other,"France,Netherlands"
alert,2013-05-14,2013.0671,Slovenia,"mercury (1.6 mg/kg - ppm) in frozen blue shark (Prionace glauca) fillets from Spain, packaged in Slovenia",fish and fish products,food,serious,informing recipient(s),distribution restricted to notifying country,frozen blue shark (prionace glauca) fillets,mercury,metals,"Slovenia,Spain"
border rejection,2013-05-14,2013.AYL,Portugal,Salmonella typhimurium (presence /25g) in frozen chicken meat (Gallus gallus) from Brazil,poultry meat and poultry meat products,food,serious,re-dispatch,product not (yet) placed on the market,frozen chicken meat (gallus gallus),salmonella enterica ser. typhimurium,pathogenic micro-organisms,Brazil
information for attention,2013-05-14,2013.0664,France,oxamyl (0.056 mg/kg - ppm) in tomatoes from Morocco,fruits and vegetables,food,serious,no action taken,product (presumably) no longer on the market,tomatoes,oxamyl,pesticide residues,Morocco
information for attention,2013-05-14,2013.0668,Italy,aflatoxins (B1 = 4.8 µg/kg - ppb) in millet flour from Senegal,cereals and bakery products,food,serious,withdrawal from the market,distribution restricted to notifying country,millet flour,aflatoxins,mycotoxins,Senegal
border rejection,2013-05-14,2013.AYJ,Italy,ochratoxin A (6.6 µg/kg - ppb) in aseptic grape must concentrate from Iran,other food product / mixed,food,serious,re-dispatch,product not (yet) placed on the market,aseptic grape must concentrate,ochratoxin a,mycotoxins,Iran
information for follow-up,2013-05-14,2013.0665,Germany,detergent (dilution with rinse water and low contamination with acidic cleaners) in beer in barrels from Germany,alcoholic beverages,food,not serious,recall from consumers,distribution to other member countries,beer in barrels,detergent,industrial contaminants,Germany
alert,2013-05-14,2013.0669,Germany,"aflatoxins (B1 = 15.1; Tot. = 34 µg/kg - ppb) in dried figs from Turkey, via the Netherlands",fruits and vegetables,food,serious,withdrawal from the market,distribution to other member countries,dried figs,aflatoxins,mycotoxins,"Netherlands,Turkey"
information for attention,2013-05-14,2013.0670,Poland,"Salmonella enteritidis (1 out of 5 samples /25g) in frozen whole chicken hen from Poland, with raw material from the Czech Republic",poultry meat and poultry meat products,food,serious,use in feed,product not (yet) placed on the market,frozen whole chicken hen,salmonella enterica ser. enteritidis,pathogenic micro-organisms,"Czech Republic,Poland"
border rejection,2013-05-14,2013.AYI,France,"chlorpyrifos (0.04 mg/kg - ppm), methomyl (0.07 mg/kg - ppm) and acetamiprid (0.04 mg/kg - ppm) in aubergines from Thailand",fruits and vegetables,food,undecided,destruction,product not (yet) placed on the market,aubergines,"acetamiprid,chlorpyrifos,methomyl","pesticide residues,pesticide residues,pesticide residues",Thailand
alert,2013-05-13,2013.0660,Italy,too high count of Escherichia coli (9200 MPN/100g) in clams from Italy,bivalve molluscs and products thereof,food,serious,informing recipient(s),distribution to other member countries,clams,too high count of escherichia coli,microbial contaminants (other),Italy
alert,2013-05-13,2013.0661,Italy,too high count of Escherichia coli (790 MPN/100g) in clams from Italy,bivalve molluscs and products thereof,food,serious,informing recipient(s),distribution to other member countries,clams,too high count of escherichia coli,microbial contaminants (other),Italy
information for attention,2013-05-13,2013.0659,France,mercury (1.912 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Madagascar,fish and fish products,food,serious,informing recipient(s),product (presumably) no longer on the market,chilled swordfish (xiphias gladius),mercury,metals,Madagascar
border rejection,2013-05-13,2013.AYD,Italy,"migration of chromium (169.4 mg/kg - ppm), of nickel (4.2 mg/kg - ppm) and of manganese (862.0 mg/kg - ppm) from barbeque grids from China",food contact materials,fcm,not serious, ,product not (yet) placed on the market,barbeque grids,"migration of chromium,migration of manganese,migration of nickel","metals,metals,metals",China
information for attention,2013-05-13,2013.0658,Italy,unauthorised substance profenofos (1.3 mg/kg - ppm) in Indian pennywort (Centella Asiatica) from Sri Lanka,herbs and spices,food,not serious, ,distribution restricted to notifying country,indian pennywort (centella asiatica),unauthorised substance profenofos,pesticide residues,Sri Lanka
alert,2013-05-13,2013.0662,France,Amnesic Shellfish Poisoning (ASP) toxins in chilled scallops from France,bivalve molluscs and products thereof,food,serious,recall from consumers,distribution to other member countries,chilled scallops,amnesic shellfish poisoning (asp) toxins,natural toxins (other),France
border rejection,2013-05-13,2013.AYG,Italy,imidacloprid (9.1 mg/kg - ppm) and unauthorised substance methamidophos (0.15 mg/kg - ppm) in green tea in teabags from Singapore,"cocoa and cocoa preparations, coffee and tea",food,undecided,import not authorised,product not (yet) placed on the market,green tea in teabags,"imidacloprid,unauthorised substance methamidophos","pesticide residues,pesticide residues",Singapore
information for attention,2013-05-13,2013.0657,Italy,histamine (216.8; 147.8; 208.4; 168.4; 167.9; 203.0; 168.7; 164.6; 92.8 mg/kg - ppm) in chilled whole tuna from Spain,fish and fish products,food,serious, ,product (presumably) no longer on the market,chilled whole tuna,histamine,biological contaminants (other),Spain
border rejection,2013-05-13,2013.AYE,Italy,migration of chromium (6.2 mg/kg - ppm) and of manganese (0.2 mg/kg - ppm) from scissors from China,food contact materials,fcm,not serious,placed under customs seals,product not (yet) placed on the market,scissors,"migration of chromium,migration of manganese","metals,metals",China
border rejection,2013-05-13,2013.AYH,Spain,unauthorised substance carbendazim (0.63 mg/kg - ppm) in peppers from the Dominican Republic,fruits and vegetables,food,undecided,destruction,product not (yet) placed on the market,peppers,unauthorised substance carbendazim,pesticide residues,Dominican Republic
border rejection,2013-05-13,2013.AYF,Italy,acetamiprid (0.38 mg/kg - ppm) in green tea from India,"cocoa and cocoa preparations, coffee and tea",food,undecided,import not authorised,product not (yet) placed on the market,green tea,acetamiprid,pesticide residues,India
alert,2013-05-13,2013.0663,Germany,Salmonella in dog chews from Germany,feed materials,feed,serious,withdrawal from the market,distribution to other member countries,dog chews,salmonella,pathogenic micro-organisms,Germany
border rejection,2013-05-13,2013.AYB,Spain,poor temperature control (-7.9; -8 °C) of frozen yellowfin tuna (Thunnus albacares) from the Seychelles,fish and fish products,food,not serious,import not authorised,product not (yet) placed on the market,frozen yellowfin tuna (thunnus albacares),poor temperature control,poor or insufficient controls,Seychelles
border rejection,2013-05-13,2013.AYC,Bulgaria,formetanate (0.207 mg/kg - ppm) in fresh peppers from Turkey,fruits and vegetables,food,undecided,placed under customs seals,product not (yet) placed on the market,fresh peppers,formetanate,pesticide residues,Turkey
border rejection,2013-05-10,2013.AXW,United Kingdom,unauthorised substance dichlorvos (0.26 mg/kg - ppm) in honey beans from Nigeria,fruits and vegetables,food,undecided,official detention,product not (yet) placed on the market,honey beans,unauthorised substance dichlorvos,pesticide residues,Nigeria
border rejection,2013-05-10,2013.AXY,Germany,unauthorised genetically modified green papaya from Thailand,fruits and vegetables,food,undecided,re-dispatch,product not (yet) placed on the market,green papaya,unauthorised genetically modified,genetically modified food or feed,Thailand
border rejection,2013-05-10,2013.AXZ,Cyprus,blanched peanut kernels and peanuts in shell from China infested with moulds,"nuts, nut products and seeds",food,not serious,placed under customs seals,product not (yet) placed on the market,blanched peanut kernels and peanuts in shell,infested with moulds,microbial contaminants (other),China
border rejection,2013-05-10,2013.AXT,United Kingdom,aflatoxins (Tot. = 4.6 / Tot. = 5.6 µg/kg - ppb) in blanched groundnut kernels from Brazil,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,blanched groundnut kernels,aflatoxins,mycotoxins,Brazil
alert,2013-05-10,2013.0654,Poland,"migration of primary aromatic amines (3,3-dimethyl-benzidine 9: 0.015; 0.011; 0.015; 0.015; 0.016; 0.016; 0.022; 0.016; 0.023; 0.018; 0.002; 0.020 mg/kg - ppm) from nylon kitchen tools from China",food contact materials,fcm,serious,withdrawal from the market,no distribution from notifying country,nylon kitchen tools,migration of primary aromatic amines,migration,China
information for follow-up,2013-05-10,2013.0653,Germany,"too high content of E 210 - benzoic acid (310 mg/l), E 385 - calcium disodium ethylene diamine tetra acetate (CDEDTA) (21 mg/kg - ppm) and E 315 - erythorbic acid unauthorised, unauthorised food additive brominated vegetable oil (BVO) (40 mg/l) in and incorrect labelling on soft drink from the United States",non-alcoholic beverages,food,not serious,withdrawal from the market,distribution to other member countries,soft drink,"e 315 - erythorbic acid unauthorised,e 385 - calcium disodium ethylene diamine tetra acetate (cdedta) unauthorised,incorrect labelling,too high content of e 210 - benzoic acid,unauthorised food additive brominated vegetable oil (bvo)","food additives and flavourings,food additives and flavourings,labelling absent/incomplete/incorrect,food additives and flavourings,food additives and flavourings",United States
border rejection,2013-05-10,2013.AXU,United Kingdom,unauthorised substance dichlorvos (0.02 mg/kg - ppm) in oloyin beans from Nigeria,fruits and vegetables,food,undecided,official detention,product not (yet) placed on the market,oloyin beans,unauthorised substance dichlorvos,pesticide residues,Nigeria
alert,2013-05-10,2013.0656,Ireland,migration of primary aromatic amines (8.5892; 7.1997; 6.4378 mg/kg - ppm) from kitchen spoons via the United Kingdom,food contact materials,fcm,serious,withdrawal from the market,no distribution from notifying country,kitchen spoons,migration of primary aromatic amines,migration,United Kingdom
border rejection,2013-05-10,2013.AYA,Finland,unauthorised substance triazophos (4.5 mg/kg - ppm) in sarso leaves (Brassica campestris) from India,fruits and vegetables,food,undecided,placed under customs seals,product not (yet) placed on the market,sarso leaves (brassica campestris),unauthorised substance triazophos,pesticide residues,India
alert,2013-05-10,2013.0655,Italy,"mercury (2.40 mg/kg - ppm) in smoked swordfish from Portugal, via Spain",fish and fish products,food,serious,official detention,product (presumably) no longer on the market,smoked swordfish,mercury,metals,"Portugal,Spain"
information for follow-up,2013-05-10,2013.0652,Finland,methiocarb (1.3; 1.1; 0.71 mg/kg - ppm) in chilli peppers from Spain,fruits and vegetables,food,not serious,recall from consumers,distribution restricted to notifying country,chilli peppers,methiocarb,pesticide residues,Spain
border rejection,2013-05-10,2013.AXX,Italy,histamine (between 184.8 and 1770.5 mg/kg - ppm) in frozen pre-cooked tuna bits from Côte d'Ivoire,fish and fish products,food,serious,import not authorised,product not (yet) placed on the market,frozen pre-cooked tuna bits,histamine,biological contaminants (other),Côte d'Ivoire
border rejection,2013-05-10,2013.AXV,United Kingdom,aflatoxins (B1 = 27.2; Tot. = 32.6 µg/kg - ppb) in nut cracker spicey coated fried peanuts from India,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,nut cracker spicey coated fried peanuts,aflatoxins,mycotoxins,India
information for attention,2013-05-09,2013.0651,Lithuania,migration of cadmium (0.22; 0.14; 0.21; 0.15 mg/dm²) from porcelain square plates from China,food additives and flavourings,food,not serious,recall from consumers,distribution to other member countries,porcelain square plates,migration of cadmium,metals,China
border rejection,2013-05-09,2013.AXS,Portugal,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (12.8 µg/kg - ppb) in cattle stomachs (Bos taurus) from Brazil,meat and meat products (other than poultry),food,serious,re-dispatch,product not (yet) placed on the market,cattle stomachs (bos taurus),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Brazil
border rejection,2013-05-09,2013.AXN,Italy,migration of chromium (1.3 mg/kg - ppm) and of manganese (0.9 mg/kg - ppm) from metal oil can from India,food contact materials,fcm,undecided,placed under customs seals,product not (yet) placed on the market,metal oil can,"migration of chromium,migration of manganese","metals,metals",India
information for attention,2013-05-09,2013.0648,United Kingdom,undeclared soya in frozen pork quarter pounders from the United Kingdom,meat and meat products (other than poultry),food,serious, ,distribution to non-member countries,frozen pork quarter pounders,soya undeclared,allergens,United Kingdom
border rejection,2013-05-09,2013.AXM,Luxembourg,"unauthorised novel food ingredient betaine, unauthorised substances tocotrienol, methylcobalamin and dibencozide and unauthorised use of capsaicin in food supplements from the United States","dietetic foods, food supplements, fortified foods",food,not serious,return to consignor,product allowed to travel to destination under customs seals,food supplements,"unauthorised novel food ingredient betaine,unauthorised substance dibencozide,unauthorised substance methylcobalamin,unauthorised substance tocotrienol,unauthorised use of capsaicin","novel food,composition,composition,composition,composition",United States
border rejection,2013-05-09,2013.AXQ,Italy,migration of manganese (0.61 mg/kg - ppm) from iron/steel kitchen knives from Japan,food contact materials,fcm,undecided,import not authorised,product not (yet) placed on the market,iron/steel kitchen knives,migration of manganese,metals,Japan
border rejection,2013-05-09,2013.AXR,Portugal,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (16.4 µg/kg - ppb) in cattle stomaches (Bos taurus) from Brazil,meat and meat products (other than poultry),food,serious,re-dispatch,product not (yet) placed on the market,cattle stomachs (bos taurus),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Brazil
information for follow-up,2013-05-09,2013.0650,Slovakia,too high content of sulphite (45.4 mg/l) in carbonated pear soft drink from Sweden,non-alcoholic beverages,food,not serious,withdrawal from the market,no distribution from notifying country,carbonated pear soft drink,too high content of sulphite,food additives and flavourings,Sweden
information for attention,2013-05-09,2013.AXO,Denmark,Salmonella enterica (presence /25g) in fish meal from Mauritania,feed materials,feed,undecided, ,distribution restricted to notifying country,fish meal,salmonella,pathogenic micro-organisms,Mauritania
border rejection,2013-05-09,2013.AXP,Italy,chlorpyrifos (0.23 mg/kg - ppm) in chickpeas from Argentina,fruits and vegetables,food,undecided,import not authorised,product not (yet) placed on the market,chickpeas,chlorpyrifos,pesticide residues,Argentina
information for follow-up,2013-05-09,2013.0649,Slovakia,too high content of sulphite (50 mg/l) in carbonated apple soft drink from Sweden,non-alcoholic beverages,food,not serious,withdrawal from the market,no distribution from notifying country,carbonated apple soft drink,too high content of sulphite,food additives and flavourings,Sweden
information for attention,2013-05-08,2013.0638,United Kingdom,too high content of E 210 - benzoic acid (405; 858; 405 mg/l) in various non-alcoholic beverages from the United States,non-alcoholic beverages,food,not serious,withdrawal from the market,distribution restricted to notifying country,various non-alcoholic beverages,too high content of e 210 - benzoic acid,food additives and flavourings,United States
information for attention,2013-05-08,2013.0641,Italy,migration of chromium (0.2 mg/kg - ppm) from kitchen stainless steel forceps from Pakistan,food contact materials,fcm,not serious,informing recipient(s),no distribution from notifying country,kitchen stainless steel forceps,migration of chromium,metals,Pakistan
alert,2013-05-08,2013.0645,Denmark,undeclared milk ingredient in frozen salted pork shoulder from Denmark,meat and meat products (other than poultry),food,serious,withdrawal from the market,distribution to other member countries,frozen salted pork shoulder,milk ingredient undeclared,allergens,Denmark
border rejection,2013-05-08,2013.AXG,United Kingdom,aflatoxins (B1 = 8.84 µg/kg - ppb) in shelled roasted peanuts from China,"nuts, nut products and seeds",food,serious,import not authorised,product not (yet) placed on the market,shelled roasted peanuts,aflatoxins,mycotoxins,China
border rejection,2013-05-08,2013.AXL,Spain,poor temperature control (-11.3/-14/-13 °C) of frozen cuttlefish (Sepia officinalis) from Morocco,cephalopods and products thereof,food,not serious,import not authorised,product not (yet) placed on the market,frozen cuttlefish (sepia officinalis),poor temperature control,poor or insufficient controls,Morocco
