PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
prepared dishes and snacks,france,france,allergens,almond undeclared,serious
fruits and vegetables,poland,turkey,mycotoxins,ochratoxin a,undecided
pet food,austria,"austria,slovakia",pathogenic micro-organisms,salmonella enterica ser. infantis,serious
"dietetic foods, food supplements, fortified foods",germany,united states,composition,too high intake of vitamin b6,serious
fish and fish products,united kingdom,seychelles,"packaging defective / incorrect,packaging defective / incorrect","bulging packaging,damaged packaging",undecided
fruits and vegetables,bulgaria,turkey,pesticide residues,methiocarb,serious
food contact materials,germany,united kingdom,organoleptic aspects,deterioration of organoleptic characteristics,not serious
poultry meat and poultry meat products,denmark,poland,"pathogenic micro-organisms,pathogenic micro-organisms","campylobacter coli,campylobacter jejuni",undecided
pet food,germany,turkey,pathogenic micro-organisms,salmonella,serious
poultry meat and poultry meat products,belgium,"belgium,spain",foreign bodies,glass fragments,serious
fish and fish products,germany,vietnam,residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),serious
cereals and bakery products,italy,italy,foreign bodies,metal strips,serious
feed materials,czech republic,czech republic,pathogenic micro-organisms,salmonella enterica ser. montevideo,not serious
confectionery,netherlands,netherlands,allergens,egg undeclared,serious
meat and meat products (other than poultry),italy,hungary,microbial contaminants (other),listeria monocytogenes,undecided
herbs and spices,belgium,belgium,"allergens,allergens","milk ingredient undeclared,mustard undeclared",serious
fruits and vegetables,denmark,syria,food additives and flavourings,unauthorised use of colour e 122 - azorubine,not serious
fish and fish products,spain,"seychelles,spain",poor or insufficient controls,poor temperature control - rupture of the cold chain -,undecided
"nuts, nut products and seeds",slovenia,turkey,biological contaminants (other),high content of cyanide,serious
fruits and vegetables,sweden,egypt,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 120 - carmines,unauthorised use of colour e 122 - azorubine",not serious
fruits and vegetables,czech republic,italy,composition,too high content of nitrate,not serious
cereals and bakery products,denmark,germany,foreign bodies,plastic fragments,undecided
meat and meat products (other than poultry),united kingdom,united kingdom,poor or insufficient controls,poor traceability records,undecided
crustaceans and products thereof,norway,india,pathogenic micro-organisms,vibrio parahaemolyticus,undecided
bivalve molluscs and products thereof,united kingdom,united kingdom,poor or insufficient controls,not tested for marine biotoxins,undecided
meat and meat products (other than poultry),hungary,slovakia,foreign bodies,metal pieces,serious
fish and fish products,italy,netherlands,poor or insufficient controls,poor traceability records,not serious
meat and meat products (other than poultry),netherlands,netherlands,pathogenic micro-organisms,foodborne outbreak suspected,serious
eggs and egg products,germany,germany,environmental pollutants,non-dioxin-like polychlorobifenyls,undecided
fruits and vegetables,czech republic,poland,pesticide residues,chlorpyrifos,serious
poultry meat and poultry meat products,denmark,germany,"allergens,allergens","celery undeclared,mustard undeclared",serious
cereals and bakery products,greece,india,"pesticide residues,pesticide residues","unauthorised substance carbendazim,unauthorised substance tricyclazole",undecided
cereals and bakery products,slovenia,slovenia,foreign bodies,live insects,not serious
"nuts, nut products and seeds",slovenia,"slovenia,turkey",mycotoxins,aflatoxins,serious
"dietetic foods, food supplements, fortified foods",finland,united kingdom,novel food,"unauthorised novel food ingredient 3,3'-diindolylmethane (dim)",undecided
food contact materials,poland,"bangladesh,germany",migration,migration of primary aromatic amines,serious
feed materials,italy,ireland,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
"nuts, nut products and seeds",germany,"germany,pakistan",biological contaminants (other),too high content of cyanide,serious
cereals and bakery products,belgium,belgium,natural toxins (other),ergot (claviceps purpurea),serious
fish and fish products,netherlands,netherlands,poor or insufficient controls,excessive shelf life,serious
herbs and spices,netherlands,"germany,india",pathogenic micro-organisms,salmonella,serious
poultry meat and poultry meat products,czech republic,poland,pathogenic micro-organisms,salmonella enterica ser. typhimurium,serious
poultry meat and poultry meat products,france,bulgaria,microbial contaminants (other),listeria monocytogenes,not serious
cephalopods and products thereof,portugal,china,poor or insufficient controls,unauthorised operator,not serious
cephalopods and products thereof,portugal,china,"adulteration / fraud,poor or insufficient controls","improper import declaration,unauthorised operator",not serious
fish and fish products,denmark,latvia,microbial contaminants (other),listeria monocytogenes,serious
"nuts, nut products and seeds",poland,burkina faso,pathogenic micro-organisms,salmonella,serious
cereals and bakery products,germany,france,foreign bodies,metal pieces,undecided
meat and meat products (other than poultry),luxembourg,china,"residues of veterinary medicinal products,residues of veterinary medicinal products","prohibited substance chloramphenicol,prohibited substance nitrofuran (metabolite) furaltadone (amoz)",serious
meat and meat products (other than poultry),netherlands,united kingdom,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
crustaceans and products thereof,italy,albania,poor or insufficient controls,poor temperature control - rupture of the cold chain -,not serious
"cocoa and cocoa preparations, coffee and tea",united kingdom,united kingdom,allergens,milk ingredient undeclared,serious
herbs and spices,finland,israel,pesticide residues,unauthorised substance dinotefuran,undecided
fruits and vegetables,spain,spain,foreign bodies,dead insects,not serious
feed materials,germany,germany,environmental pollutants,non-dioxin-like polychlorobifenyls,not serious
fruits and vegetables,belgium,south korea,microbial contaminants (other),listeria monocytogenes,serious
"dietetic foods, food supplements, fortified foods",slovakia,united kingdom,composition,unauthorised substance melatonin,serious
poultry meat and poultry meat products,hungary,slovakia,poor or insufficient controls,unfit for human consumption,undecided
other food product / mixed,germany,poland,pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
fish and fish products,netherlands,"netherlands,vietnam",composition,carbon monoxide treatment,not serious
"nuts, nut products and seeds",portugal,ukraine,mycotoxins,aflatoxins,serious
"cocoa and cocoa preparations, coffee and tea",germany,"germany,japan",composition,high content of aluminium,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,"composition,food additives and flavourings,composition","high content of synephrine,too high intake of caffeine,unauthorised substance yohimbine",serious
confectionery,france,france,food additives and flavourings,too high content of colour e 122 - azorubine,undecided
meat and meat products (other than poultry),united kingdom,czech republic,labelling absent/incomplete/incorrect,incorrect expiry date,serious
confectionery,latvia,ukraine,composition,too high content of trans fatty acids,undecided
pet food,belgium,netherlands,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. indiana,high count of enterobacteriaceae",not serious
"dietetic foods, food supplements, fortified foods",slovenia,"china,united kingdom",composition,unauthorised substance sildenafil,not serious
"soups, broths, sauces and condiments",ireland,ireland,allergens,molluscs undeclared,serious
fruits and vegetables,slovakia,"afghanistan,turkey",mycotoxins,ochratoxin a,serious
fruits and vegetables,romania,poland,"pesticide residues,pesticide residues","dimethoate,unauthorised substance omethoate",serious
feed materials,finland,greece,foreign bodies,fragments of bones of land animals,not serious
"dietetic foods, food supplements, fortified foods",hungary,romania,composition,unauthorised substance sildenafil,serious
confectionery,sweden,denmark,foreign bodies,plastic fragments,serious
poultry meat and poultry meat products,belgium,belgium,allergens,gluten undeclared,serious
cereals and bakery products,italy,italy,foreign bodies,metal fragments,serious
food contact materials,italy,china,migration,migration of formaldehyde,serious
confectionery,italy,spain,food additives and flavourings,too high content of colour e 124 - ponceau 4r / cochineal red a,not serious
other food product / mixed,denmark,"denmark,italy",organoleptic aspects,unsuitable organoleptic characteristics,not serious
"dietetic foods, food supplements, fortified foods",france,france,natural toxins (other),pyrrolizidine alkaloids,serious
